empno,gross
100128679,2000
100128684,16.72
100128696,2384.06
100128697,3447.12
100128698,2657.79
100128699,2784.81
100128700,4056.07
100128701,3310.08
100128702,2927.4
100128703,2972.09
100128705,2633.63
100128709,3379.13
100128711,2583.02
100128713,3142.85
100128714,3037.84
100128715,2483.49
100128716,3421.89
100128719,3405.3
100128720,3326.22
100128721,3362.13
100128722,2674.14
100128723,2777.15
100128724,3557.94
100128725,3006.86
100128726,5328.1
100128727,5081.41
100128728,4441.53
100128729,4516.46
100128733,2930.6
100128734,2145.23
100128735,3585.66
100128736,1919
100128737,2812.74
100128738,2985.79
100128739,2950
100128740,3386.03
100128748,2586.35
100128749,1700
100128750,3549.64
100128752,5997.95
100128753,3395.89
100128759,0
100128760,0
100128764,2800
100128773,3021.06
100128776,1791.04
100128777,1360.4
100128836,1185
100128851,2392.4
100128855,2993.55
100128857,775
100128859,665
100128862,740
100128863,1710
100128870,2108.58
100128871,900
100128876,360
100128885,1980
100128887,1980
100128889,1751
100128890,1948.95
100128891,2422.09
100128892,3646.62
100128893,3545.49
100128894,3856.48
100128895,2230
100128896,1503
100128897,2845.64
100128898,1636.32
100128900,2256.5
100128905,3016.6
100128906,2880
100128907,3652.28
100128931,8000
100128941,1800
100128942,2000
100128944,0
100128946,7500
100128952,550
100128957,6980.27
100128958,290.32
100128959,1800
100128960,1800
100128964,370
100128968,3721.52
100128977,322.5
100128978,690
100128979,690
100128980,645
100128981,795
100128982,142.5
100128983,700
100128985,405
100128986,3300
100128993,2571.7
100128994,3742.85
100128995,2668.4
100129004,450
100129005,450
100129006,450
100129007,1980
100129008,3660.25
100129009,2845.44
100129010,2194.17
100129011,2240.53
100129012,1660
100129013,1660
100129014,1660
100129015,1660
100129018,300
100129023,1400
100129024,1400
100129025,1400
100129027,1938.48
100129028,1400
100129029,1400
100129031,1400
100129032,1400
100129033,1400
100129035,1400
100129036,2120.21
100129050,2167.74
100129051,3068.76
100129052,3878.71
100129055,3224.02
100129065,390
100129070,800
100129072,780
100129074,510
100129076,705
100129080,1870.97
100129081,3620
100129140,400
100129142,440
100129143,300
100129151,2200
100129156,1683.87
100129159,0
100129163,782
100129166,1870.97
100129167,95.36
100129168,95.36
100129171,39.36
100129180,3155.2
100129184,353.36
100129187,7951.61
100129191,1622.24
100129195,2612.9
100129196,1930.23
100129197,2371.55
100129199,2243.23
100129201,3000
100129202,2700
100129203,3000
100129205,2130
100129206,2130
100129207,3491.5
100129208,1660
100129209,1884.25
100129210,1660
100129211,2430
100129212,3219.36
100129214,3251.77
100129215,1730
100129216,1780
100129217,1660
100129218,2580
100129219,2380
100129220,1660
100129243,400
100129245,8297.42
100129246,2320
100129247,2320
100129248,2226.45
100129249,1618.39
100129250,2525.81
100129251,1711.94
100129252,1552.91
100129253,1478.07
100129254,700.9
100129255,1075
100129256,1140
100129258,3241.62
100129259,4967.74
100129264,140
100129265,330
100129266,405
100129267,600.7
100129268,1064.52
100129271,455
100129272,435
100129273,435
100129274,555
100129284,390
100129285,705
100129287,500
100129289,85
100129291,270
100129294,420
100129295,375
100129297,365
100129298,595
100129299,135
100129301,465
100129302,53.36
100129305,97.36
100129306,557.36
100129307,383.36
100129308,330
100129309,330
100129310,929.03
100129311,929.03
100129315,722.58
100129317,722.58
100129319,722.58
100129320,722.58
100129322,420
100129323,340
100129333,135
100129335,90
100129338,722.58
100129340,722.58
100129343,722.58
100129344,722.58
100129345,722.58
100129346,722.58
100129347,722.58
100129348,722.58
100129353,880
100129354,880
100129356,1246.45
100129357,1231.61
100129358,1231.61
100129359,856.77
100129361,867.09
100129362,1357.74
100129363,1914.2
100129365,1506.13
100129366,1765.81
100129367,856.77
100129375,1122.36
100129376,1122.36
100129378,210.64
100129379,1870.63
100129380,1000
100129381,600
100129397,80
100129399,56
100129400,35.36
100129401,42.64
100129402,82
100129417,845
100129418,705
100129420,80
100129446,664.41
100129447,110
100129453,135
100129454,135
100129455,135
100129456,135
100129457,520
100129458,135
100129459,135
100129460,135
100129463,450
100129464,0
100129465,0
